<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AFLT;D;201201;000000;72.0200000;72.4200000;71.4600000;72.1800000;18609590
AFLT;D;201202;000000;72.0400000;72.5000000;71.7000000;72.5000000;15799530
AFLT;D;201203;000000;72.2800000;74.3200000;72.2400000;74.0000000;34225620
AFLT;D;201204;000000;74.1800000;75.4800000;73.3400000;74.1400000;36921900
AFLT;D;201207;000000;74.2200000;75.1200000;73.6000000;74.0000000;25660380
AFLT;D;201208;000000;74.0000000;74.0000000;71.3600000;72.7000000;28602490
AFLT;D;201209;000000;72.9600000;73.2600000;71.5200000;72.0000000;20039840
AFLT;D;201210;000000;71.9800000;72.4000000;71.1000000;72.1800000;19635880
AFLT;D;201211;000000;71.9600000;73.0800000;71.1000000;71.7600000;22922230
AFLT;D;201214;000000;71.9000000;72.2400000;69.5400000;71.0800000;28655870
AFLT;D;201215;000000;70.8600000;71.1000000;69.6000000;70.2400000;18537620
AFLT;D;201216;000000;70.1000000;71.4800000;69.7600000;71.4600000;18400940
AFLT;D;201217;000000;71.5200000;72.2000000;70.6000000;71.1000000;23178420
AFLT;D;201218;000000;71.0000000;72.3800000;70.7400000;71.4000000;36976310
AFLT;D;201221;000000;70.9000000;70.9000000;66.5400000;68.7600000;55268580
AFLT;D;201222;000000;67.9400000;69.7000000;67.5000000;68.7400000;21099500
AFLT;D;201223;000000;68.6000000;69.8800000;68.3200000;69.4200000;11645830
AFLT;D;201224;000000;69.5000000;69.6600000;68.7200000;68.9800000;9149830
AFLT;D;201225;000000;69.1200000;69.2200000;68.6800000;69.1400000;5455100
AFLT;D;201228;000000;69.2400000;70.2600000;69.1200000;69.6200000;10943840
AFLT;D;201229;000000;69.7400000;71.6400000;69.5000000;70.6200000;21637400
AFLT;D;201230;000000;70.8000000;71.9800000;70.6600000;71.4400000;18659750
AFLT;D;210104;000000;71.8000000;73.1000000;71.6000000;72.0600000;17699020
AFLT;D;210105;000000;72.1200000;72.8600000;71.8000000;72.7400000;13101290
AFLT;D;210106;000000;72.9000000;73.7800000;72.6200000;72.9600000;18466940
AFLT;D;210108;000000;73.3200000;73.8200000;73.0000000;73.5800000;16294520
AFLT;D;210111;000000;73.3600000;74.5600000;72.6800000;74.0800000;26103010
AFLT;D;210112;000000;73.9600000;74.5400000;73.1200000;74.1800000;16554180
AFLT;D;210113;000000;74.1200000;74.3800000;72.9200000;73.5000000;13247610
AFLT;D;210114;000000;73.4200000;73.7600000;72.7400000;73.1600000;14637000
AFLT;D;210115;000000;73.0800000;73.6000000;72.0800000;72.3000000;14501020
AFLT;D;210118;000000;72.4000000;73.0000000;72.2200000;72.7800000;10085570
AFLT;D;210119;000000;72.9600000;74.3000000;72.6800000;73.7200000;24367170
AFLT;D;210120;000000;73.7000000;74.2800000;73.3000000;73.7200000;12749160
AFLT;D;210121;000000;73.8400000;73.9800000;72.2400000;72.5000000;13259080
AFLT;D;210122;000000;72.4600000;72.7400000;71.1200000;71.8400000;17722040
AFLT;D;210125;000000;72.1800000;72.4600000;70.2000000;71.1400000;26560810
AFLT;D;210126;000000;70.9000000;71.1000000;70.2200000;70.7600000;14958710
AFLT;D;210127;000000;70.8000000;71.1600000;69.7200000;69.8800000;20641720
AFLT;D;210128;000000;69.7000000;71.1000000;69.1200000;71.0000000;40599000
AFLT;D;210129;000000;71.0000000;71.1000000;69.7200000;69.8800000;15988890
AFLT;D;210201;000000;70.2800000;70.5600000;69.3800000;70.3400000;10868540
AFLT;D;210202;000000;70.4600000;71.0400000;69.7400000;70.1400000;13365770
AFLT;D;210203;000000;70.6000000;70.9200000;70.1600000;70.6800000;12108390
AFLT;D;210204;000000;70.6800000;71.0800000;70.3000000;70.5600000;9544490
AFLT;D;210205;000000;70.7200000;71.0800000;70.3800000;70.8200000;11132780
AFLT;D;210208;000000;71.0000000;71.4600000;70.6200000;71.0800000;19626910
AFLT;D;210209;000000;71.1800000;71.2800000;70.0000000;70.3400000;20394170
AFLT;D;210210;000000;70.3800000;70.6000000;68.3000000;69.1800000;30235780
AFLT;D;210211;000000;69.0200000;69.4600000;68.6400000;68.8600000;11668550
AFLT;D;210212;000000;68.9200000;69.4000000;68.0400000;69.2800000;15538890
AFLT;D;210215;000000;69.4800000;69.8000000;68.8200000;69.6200000;16674370
AFLT;D;210216;000000;69.7200000;69.7600000;68.8200000;69.5000000;18076890
AFLT;D;210217;000000;69.2800000;69.6800000;68.9600000;69.1800000;20700580
AFLT;D;210218;000000;69.3000000;69.4000000;68.6400000;68.8000000;14471380
AFLT;D;210219;000000;68.7400000;69.1600000;68.6600000;69.0200000;15404430
