<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;201201;000000;4979.0000000;5057.0000000;4961.5000000;5019.5000000;290875
MGNT;D;201202;000000;5004.0000000;5038.0000000;4968.5000000;4995.0000000;232363
MGNT;D;201203;000000;4998.5000000;5054.0000000;4950.5000000;5008.0000000;485355
MGNT;D;201204;000000;5013.5000000;5034.0000000;4975.0000000;4992.5000000;151598
MGNT;D;201207;000000;4994.5000000;5050.0000000;4992.0000000;5008.0000000;202118
MGNT;D;201208;000000;5022.5000000;5055.5000000;5000.0000000;5040.5000000;282800
MGNT;D;201209;000000;5051.5000000;5426.0000000;5048.0000000;5384.0000000;1358687
MGNT;D;201210;000000;5396.0000000;5496.0000000;5309.0000000;5384.5000000;908425
MGNT;D;201211;000000;5359.0000000;5418.0000000;5321.5000000;5381.0000000;309310
MGNT;D;201214;000000;5391.0000000;5549.0000000;5385.0000000;5512.0000000;574282
MGNT;D;201215;000000;5524.0000000;5548.0000000;5445.0000000;5494.0000000;306982
MGNT;D;201216;000000;5483.0000000;5537.5000000;5406.5000000;5432.0000000;324675
MGNT;D;201217;000000;5441.5000000;5457.5000000;5368.0000000;5421.0000000;382297
MGNT;D;201218;000000;5414.0000000;5498.5000000;5384.0000000;5449.0000000;332646
MGNT;D;201221;000000;5441.0000000;5444.0000000;5284.0000000;5362.0000000;571561
MGNT;D;201222;000000;5337.5000000;5394.5000000;5321.5000000;5346.0000000;283565
MGNT;D;201223;000000;5340.0000000;5382.0000000;5287.5000000;5356.0000000;272274
MGNT;D;201224;000000;5362.0000000;5468.5000000;5339.0000000;5424.5000000;260208
MGNT;D;201225;000000;5421.5000000;5486.0000000;5420.0000000;5474.5000000;179783
MGNT;D;201228;000000;5487.0000000;5607.5000000;5483.5000000;5599.0000000;368382
MGNT;D;201229;000000;5613.0000000;5687.5000000;5587.5000000;5643.0000000;425425
MGNT;D;201230;000000;5670.0000000;5714.0000000;5635.0000000;5685.5000000;424833
MGNT;D;210104;000000;5700.0000000;5784.5000000;5700.0000000;5744.0000000;389580
MGNT;D;210105;000000;5749.0000000;5770.0000000;5688.5000000;5762.5000000;523336
MGNT;D;210106;000000;5558.0000000;5620.0000000;5500.0000000;5534.0000000;748238
MGNT;D;210108;000000;5536.5000000;5590.0000000;5439.5000000;5478.0000000;685315
MGNT;D;210111;000000;5462.0000000;5546.0000000;5410.0000000;5484.5000000;381305
MGNT;D;210112;000000;5484.0000000;5541.0000000;5425.0000000;5450.5000000;384309
MGNT;D;210113;000000;5451.5000000;5473.5000000;5351.0000000;5410.0000000;292518
MGNT;D;210114;000000;5403.0000000;5423.0000000;5345.0000000;5375.5000000;284274
MGNT;D;210115;000000;5370.0000000;5373.0000000;5150.0000000;5210.0000000;1082136
MGNT;D;210118;000000;5209.5000000;5254.0000000;5143.5000000;5219.0000000;558907
MGNT;D;210119;000000;5232.5000000;5254.0000000;5134.5000000;5183.5000000;443464
MGNT;D;210120;000000;5188.5000000;5220.0000000;5125.0000000;5161.5000000;496304
MGNT;D;210121;000000;5170.0000000;5192.5000000;5045.5000000;5060.0000000;553023
MGNT;D;210122;000000;5054.0000000;5054.0000000;4918.0000000;4991.0000000;706032
MGNT;D;210125;000000;4984.5000000;5175.0000000;4983.5000000;5168.5000000;751937
MGNT;D;210126;000000;5147.0000000;5211.0000000;5125.5000000;5175.0000000;461057
MGNT;D;210127;000000;5180.0000000;5187.0000000;5070.0000000;5087.5000000;406595
MGNT;D;210128;000000;5049.5000000;5071.0000000;4981.0000000;5060.0000000;394757
MGNT;D;210129;000000;5031.5000000;5045.0000000;4900.5000000;4924.0000000;551594
MGNT;D;210201;000000;4941.5000000;5017.0000000;4865.0000000;4948.5000000;490220
MGNT;D;210202;000000;4949.0000000;5096.5000000;4949.0000000;5014.5000000;716539
MGNT;D;210203;000000;5013.5000000;5081.5000000;4987.5000000;5048.5000000;394810
MGNT;D;210204;000000;5055.5000000;5160.0000000;5005.0000000;5062.5000000;731022
MGNT;D;210205;000000;5082.0000000;5097.0000000;4953.0000000;4996.0000000;511451
MGNT;D;210208;000000;5013.0000000;5117.0000000;5005.0000000;5107.5000000;554832
MGNT;D;210209;000000;5112.0000000;5298.5000000;5110.0000000;5273.0000000;870072
MGNT;D;210210;000000;5295.5000000;5312.0000000;5125.5000000;5197.0000000;542689
MGNT;D;210211;000000;5177.0000000;5196.5000000;5090.0000000;5117.5000000;496228
MGNT;D;210212;000000;5100.0000000;5174.0000000;5036.0000000;5169.0000000;493207
MGNT;D;210215;000000;5187.0000000;5289.0000000;5186.5000000;5280.0000000;556501
MGNT;D;210216;000000;5285.0000000;5336.0000000;5271.5000000;5297.5000000;473145
MGNT;D;210217;000000;5300.5000000;5320.0000000;5211.0000000;5260.0000000;538090
MGNT;D;210218;000000;5244.5000000;5269.0000000;5076.0000000;5155.5000000;762248
MGNT;D;210219;000000;5160.0000000;5196.0000000;5110.5000000;5172.5000000;383471
MGNT;D;210220;000000;5155.0000000;5169.0000000;5125.0000000;5149.5000000;33555
MGNT;D;210222;000000;5161.5000000;5169.5000000;5055.0000000;5098.0000000;271104
MGNT;D;210224;000000;5091.0000000;5092.5000000;4957.0000000;5008.0000000;546134
MGNT;D;210225;000000;4998.0000000;5027.0000000;4889.5000000;4919.5000000;713489
MGNT;D;210226;000000;4900.5000000;4974.5000000;4872.5000000;4929.0000000;458905
MGNT;D;210301;000000;4957.0000000;4974.5000000;4916.5000000;4970.5000000;345421
MGNT;D;210302;000000;4965.0000000;5080.0000000;4938.0000000;5068.5000000;393648
MGNT;D;210303;000000;5080.0000000;5130.5000000;5016.0000000;5030.0000000;466695
MGNT;D;210304;000000;5035.5000000;5059.0000000;4953.0000000;4965.5000000;315202
MGNT;D;210305;000000;4983.0000000;5059.5000000;4906.5000000;5010.0000000;569971
MGNT;D;210309;000000;5024.5000000;5044.5000000;4936.0000000;4980.5000000;515133
MGNT;D;210310;000000;4975.0000000;5125.0000000;4966.5000000;5070.0000000;366323
MGNT;D;210311;000000;5089.5000000;5104.0000000;5031.0000000;5096.5000000;254304
MGNT;D;210312;000000;5100.0000000;5135.5000000;5074.5000000;5135.5000000;293522
MGNT;D;210315;000000;5149.0000000;5217.5000000;5142.0000000;5217.5000000;394556
MGNT;D;210316;000000;5207.0000000;5209.5000000;5132.5000000;5170.5000000;306942
MGNT;D;210317;000000;5195.0000000;5309.0000000;5170.0000000;5274.5000000;583209
MGNT;D;210318;000000;5283.5000000;5463.5000000;5275.0000000;5362.0000000;915441
MGNT;D;210319;000000;5375.5000000;5494.0000000;5301.0000000;5428.5000000;828789
MGNT;D;210322;000000;5435.0000000;5515.0000000;5374.0000000;5409.0000000;396221
MGNT;D;210323;000000;5400.0000000;5446.5000000;5282.5000000;5300.5000000;446257
MGNT;D;210324;000000;5318.0000000;5423.0000000;5308.0000000;5354.5000000;351371
MGNT;D;210325;000000;5370.5000000;5397.0000000;5250.0000000;5294.5000000;254876
MGNT;D;210326;000000;5301.0000000;5365.0000000;5289.5000000;5348.0000000;223178
MGNT;D;210329;000000;5314.5000000;5354.0000000;5256.0000000;5300.0000000;374734
MGNT;D;210330;000000;5332.0000000;5332.0000000;5281.0000000;5281.0000000;129101
MGNT;D;210331;000000;5282.5000000;5384.0000000;5268.0000000;5344.5000000;281065
MGNT;D;210401;000000;5357.0000000;5375.5000000;5270.0000000;5293.5000000;262969
MGNT;D;210402;000000;5295.5000000;5318.5000000;5273.0000000;5301.5000000;89435
MGNT;D;210405;000000;5290.5000000;5297.0000000;5202.0000000;5254.5000000;214581
MGNT;D;210406;000000;5259.0000000;5273.5000000;5096.0000000;5110.5000000;441607
MGNT;D;210407;000000;5114.0000000;5147.0000000;5040.0000000;5080.0000000;523524
MGNT;D;210408;000000;5080.5000000;5149.0000000;5033.5000000;5099.0000000;333972
MGNT;D;210409;000000;5107.0000000;5159.0000000;5060.0000000;5135.0000000;335742
MGNT;D;210412;000000;5147.0000000;5214.5000000;5125.0000000;5180.0000000;210750
MGNT;D;210413;000000;5181.0000000;5188.5000000;5086.5000000;5134.5000000;402712
MGNT;D;210414;000000;5137.0000000;5146.0000000;5070.5000000;5095.0000000;319263
MGNT;D;210415;000000;5073.5000000;5132.0000000;5046.0000000;5111.5000000;287983
MGNT;D;210416;000000;5135.0000000;5141.5000000;5083.0000000;5111.5000000;242272
MGNT;D;210419;000000;5117.0000000;5139.0000000;5081.0000000;5095.5000000;170630
MGNT;D;210420;000000;5102.0000000;5116.5000000;5054.0000000;5086.0000000;274908
MGNT;D;210421;000000;5077.5000000;5156.5000000;5071.0000000;5140.0000000;298355
MGNT;D;210422;000000;5129.5000000;5200.0000000;5100.0000000;5153.5000000;512716
MGNT;D;210423;000000;5153.5000000;5302.5000000;5130.0000000;5258.0000000;656956
MGNT;D;210426;000000;5306.0000000;5349.0000000;5255.0000000;5277.0000000;368435
MGNT;D;210427;000000;5283.5000000;5334.0000000;5215.0000000;5255.0000000;315832
MGNT;D;210428;000000;5255.0000000;5273.5000000;5166.0000000;5226.0000000;218274
MGNT;D;210429;000000;5231.0000000;5265.0000000;5083.0000000;5113.5000000;366747
MGNT;D;210430;000000;5116.5000000;5137.0000000;5070.0000000;5119.0000000;293771
MGNT;D;210504;000000;5135.0000000;5208.5000000;5131.5000000;5195.0000000;301887
MGNT;D;210505;000000;5200.5000000;5254.5000000;5144.5000000;5211.0000000;401030
MGNT;D;210506;000000;5215.0000000;5218.0000000;5135.0000000;5170.0000000;293274
MGNT;D;210507;000000;5167.5000000;5170.0000000;5093.0000000;5129.5000000;272200
MGNT;D;210510;000000;5127.5000000;5135.0000000;5065.0000000;5091.5000000;352679
MGNT;D;210511;000000;5090.0000000;5171.5000000;5081.0000000;5156.0000000;350973
MGNT;D;210512;000000;5145.0000000;5158.0000000;5065.5000000;5099.5000000;479750
MGNT;D;210513;000000;5099.0000000;5154.0000000;5089.5000000;5122.0000000;319780
MGNT;D;210514;000000;5122.5000000;5203.0000000;5122.5000000;5155.5000000;279172
MGNT;D;210517;000000;5155.0000000;5200.0000000;5103.5000000;5149.5000000;232862
MGNT;D;210518;000000;5164.5000000;5395.0000000;5153.0000000;5256.0000000;2440178
