<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;201201;000000;153.0600000;155.3500000;152.9200000;154.8200000;10259400
MOEX;D;201202;000000;154.9800000;158.5000000;154.1200000;158.4400000;16614580
MOEX;D;201203;000000;158.3800000;162.8000000;157.1400000;157.8600000;21901100
MOEX;D;201204;000000;158.5000000;159.4100000;156.0000000;157.6000000;12172200
MOEX;D;201207;000000;157.6000000;158.4900000;156.5500000;157.5100000;4962710
MOEX;D;201208;000000;157.6000000;159.7700000;156.8000000;159.0000000;8027380
MOEX;D;201209;000000;159.1000000;164.3900000;159.1000000;162.5700000;17385880
MOEX;D;201210;000000;163.0000000;165.6000000;162.6900000;164.7200000;12297880
MOEX;D;201211;000000;165.3200000;168.4300000;165.1000000;167.7100000;12198670
MOEX;D;201214;000000;168.5300000;169.0000000;161.7500000;163.0000000;17154750
MOEX;D;201215;000000;162.5400000;165.7600000;159.4500000;165.3500000;11432560
MOEX;D;201216;000000;165.7000000;166.8600000;162.0400000;163.6400000;12935090
MOEX;D;201217;000000;163.9000000;165.4700000;162.6000000;163.2100000;14836690
MOEX;D;201218;000000;162.9000000;163.1900000;159.6900000;160.6600000;12251770
MOEX;D;201221;000000;159.9900000;160.6700000;152.7600000;158.3800000;13474620
MOEX;D;201222;000000;157.0200000;163.3000000;156.9000000;161.1700000;11743350
MOEX;D;201223;000000;161.2100000;162.8600000;159.9300000;162.1900000;5584510
MOEX;D;201224;000000;162.0000000;163.4800000;160.1100000;160.9500000;5244500
MOEX;D;201225;000000;161.4300000;161.9700000;159.0100000;160.1900000;2030940
MOEX;D;201228;000000;161.0000000;161.3600000;158.0200000;159.2300000;4915960
MOEX;D;201229;000000;158.9300000;160.0600000;158.4800000;159.6700000;3051150
MOEX;D;201230;000000;159.1200000;160.3000000;158.8500000;159.2500000;2674480
MOEX;D;210104;000000;159.6800000;161.8100000;158.7200000;159.0000000;6817860
MOEX;D;210105;000000;159.1100000;161.5800000;157.2500000;161.3700000;8432440
MOEX;D;210106;000000;161.6000000;162.9000000;159.5000000;160.9100000;8163240
MOEX;D;210108;000000;161.5200000;162.9700000;159.3400000;160.3300000;12659660
MOEX;D;210111;000000;160.1500000;161.1900000;158.5100000;159.4900000;9103370
MOEX;D;210112;000000;159.7600000;160.0000000;157.5400000;158.5000000;8423740
MOEX;D;210113;000000;158.5000000;160.4900000;158.3000000;159.5000000;11993070
MOEX;D;210114;000000;159.9000000;160.9600000;158.6600000;159.7600000;9705560
MOEX;D;210115;000000;159.5000000;161.8400000;158.3800000;159.9000000;13803300
MOEX;D;210118;000000;160.1000000;160.8800000;159.4300000;160.1600000;5302280
MOEX;D;210119;000000;160.6200000;166.9900000;160.6100000;166.8900000;21239470
MOEX;D;210120;000000;167.0400000;167.8200000;162.6500000;164.2200000;12694930
MOEX;D;210121;000000;164.7100000;166.0000000;158.8500000;159.5700000;13328560
MOEX;D;210122;000000;158.6000000;158.9000000;156.2200000;158.6600000;8826580
MOEX;D;210125;000000;159.0000000;165.3700000;158.4100000;162.8000000;12891870
MOEX;D;210126;000000;162.9800000;163.5900000;161.1200000;162.8900000;4836840
MOEX;D;210127;000000;163.1300000;164.6800000;159.4200000;160.5100000;7740850
MOEX;D;210128;000000;159.5900000;162.4300000;158.0600000;160.5100000;6573500
MOEX;D;210129;000000;160.3600000;160.5800000;156.7300000;157.6200000;7781480
MOEX;D;210201;000000;158.2800000;158.5000000;154.3500000;157.2800000;9129170
MOEX;D;210202;000000;157.5000000;161.0000000;156.7900000;158.9900000;10279640
MOEX;D;210203;000000;159.0000000;160.6000000;157.5200000;158.8900000;6419440
MOEX;D;210204;000000;159.0900000;159.5600000;157.5500000;158.6400000;8091470
MOEX;D;210205;000000;158.9500000;159.4500000;157.3100000;158.2000000;4864810
MOEX;D;210208;000000;158.8100000;161.9500000;158.4200000;161.3200000;8486830
MOEX;D;210209;000000;161.9900000;165.2000000;161.5000000;164.0900000;13509560
MOEX;D;210210;000000;165.0200000;165.5500000;160.4000000;160.7600000;8172530
MOEX;D;210211;000000;160.7700000;162.3000000;159.9000000;160.1100000;4106900
MOEX;D;210212;000000;160.1300000;163.6200000;158.4000000;163.2800000;8360420
MOEX;D;210215;000000;163.5300000;165.4900000;163.4100000;165.2900000;7667250
MOEX;D;210216;000000;165.5000000;166.7000000;162.4000000;162.8800000;6897690
MOEX;D;210217;000000;162.8200000;165.0000000;161.2200000;164.5000000;9293280
MOEX;D;210218;000000;164.6000000;164.9500000;160.0100000;160.9800000;8932930
MOEX;D;210219;000000;160.5500000;167.1500000;160.4000000;165.5500000;14411460
MOEX;D;210220;000000;165.8000000;166.0000000;164.1900000;165.5500000;960870
MOEX;D;210222;000000;165.5500000;170.1300000;164.6500000;169.5000000;15510880
MOEX;D;210224;000000;169.0400000;175.7000000;167.7000000;173.2800000;19195250
MOEX;D;210225;000000;172.8300000;175.2500000;171.0300000;172.6000000;12402290
MOEX;D;210226;000000;171.7600000;173.8300000;171.5800000;173.3100000;11117890
